Stratigraphic Name,Stratno,Previous Name,Previous Name Stratno,Rank, Status ,Parent Name,Parent Stratno, Chemical Parent Name , Chemical Parent Stratno ,Top Minimum Age Name, Top Minimum Age (Ma) , Top Minimum Age Error (Ma), Top Minimum Age Method ,Base Maximum Age Name, Base Maximum Age (Ma) , Base Maximum Age Error (Ma) , Base Maximum Age Method , Minimum Thickness (m) , Maximum Thickness (m) , Type Section State , First ref as on form , Def ref as on form , Reserved by , Resdate , Approved by , Approved date ,General Comments , Lithology Description ,Primary Lithology Group, Secondary Lithology Group , Tectonic Setting , Intrusive , Granite Type
Gwynne Creek Gneiss,75621,Salt Creek granulites,16569,"Formation, beds",Formal,,,,,Mesoproterozoic,1483,12,inferred,Mesoproterozoic,1533,11,,,,,68186,,"Spaggiari, C. (GSWA)",3-Mar-10,,,"Plumridge 1:250k sheet SH51-8. Gwynne 1:100k sheet 3939. Dominantly psammitic gneiss with minor semipelitic layers; includes minor metagranitic rocks, metamafic and meta-ultramafic rocks. Previously the Salt Creek granulites named for a locality originally identified in 1970's GSWA literature as Salt Creek. 250k topographic maps showed this creek was instead called the Gwynne Creek (not Salt Creek) and thus this unit, which outcrops predominantly along the creek was named the Gwynne Creek Gneiss.","Dominantly psammitic gneiss with minor semipelitic layers; includes minor metagranitic rocks, metamafic and meta-ultramafic rocks.",high grade metamorphic rock,meta-igneous,,N,
Haig Cave Supersuite,79160,,,Supergroup,Formal,,,,,Calymmian,1389,,"inferred, intrusive relationship",Calymmian,1415,,"inferred, intrusive relationship",,,,70182,,"Spaggiari, C. (GSWA)",4-Aug-15,,,Madura Province.,Metagabbro interlayered with trondhjemitic plagiogranite.,meta-igneous mafic intrusive,,,Y,
Halfway Gneiss,35287,,,"Formation, beds",Formal,,,,,Siderian,2429,,,Neoarchean,2663,,,,,,23527,,"Sheppard S., Occhipinti S.",1-Mar-00,,,"Gascoyne region, Glenburgh 1:250 000 sheet area. Granitic gneiss.","Interlayered leucocratic and mesocratic granitic gneiss, pale grey granitic gneiss and foliated metagranite, gneissic to foliated porphyritic metagranodiorite; high-Ca group",high grade metamorphic rock,meta-igneous felsic intrusive,,Y,
Halfway Well Basalt,77945,,,"Formation, beds",Reserved,Mount White Group,78383,,,Archean,,,,Archean,,,,,,,70153,,"Sapkota, J. (GSWA Kalgoorlie)",1-Jul-13,,,"Map Sheet: SG51-13, Sir Samuel 3042. Basalt; fine-grained with local pyroxene-spinifex texture; includes medium-grained layers and lenses; minor interflow sediments; metamorphosed. To be published = GSWA geological map and explanatory notes, 2013/2014. Same rocks may have previously been called Mount White Greenstone?",Basalt; fine-grained with local pyroxene-spinifex texture; includes medium-grained layers and lenses; minor interflow sediments; metamorphosed,meta-igneous mafic volcanic,,,N,
Halls Creek Group,27793,Halls Creek Metamorphics,7991,"Group, Suite",Formal,,,,,Orosirian,1850,,"isotopic, U/Pb-Pb/Pb ion probe",Orosirian,1880,,"isotopic, U/Pb-Pb/Pb ion probe",,7000,WA,44317,23383,,,,,See also Tickalara Metamorphics.  Redefined to exclude the Ding Dong Downs Volcanics due to an unconformity. Redefined by Griffin and Tyler (1992) - Geol. of the southern Halls Creek Orogen. Intruded by Woodward Dolerite. There are inconsistencies with the age of Olympio Formation.,"Greywacke, slate, mica schist, greenschist, tuff, conglomerate, minor felsic volcanics.",feldspar- or lithic-rich arenite to rudite,,,N,
Halls Creek Group - migmatite,74411,,,"Formation, beds",Informal,Halls Creek Group,27793,,,Orosirian,,,,Orosirian,,,,,,,,,,,,,,Migmatitic cordierite-sillimanite pelitic hornfels locally retrogressed to pelitic schist,metasedimentary,,,U,
Hamelin Coquina,7999,,,"Formation, beds",Formal,,,,,Holocene,,,,Holocene,,,,,,,35105,,,,,,Duplication of name prefix (also used for Hamelin Granite) is acceptable (email R.Hocking 20/11/08) since a great distance separates them and lithologies are vastly different.,"Beach ridges, coquina of small Fragum erugatum shells.",sedimentary carbonate,,,N,
Hamelin Granite,40171,Dunsborough Suite,40170,"Formation, beds",Formal,Leeuwin Complex,10296,,,Neoproterozoic,,,,Mesoproterozoic,,,,,,,24595,,,,,,"Of Myers (1994).  Previously referred to as the Dunsborough Suite (Kay, 1958). Duplication of name prefix (also used for Hamelin Coquina) is acceptable (email R.Hocking 20/11/08) since a great distance separates them and lithologies are vastly different.",Granite gneisses.,,,,Y,
Hamersley Group,8005,,,"Group, Suite",Formal,Mount Bruce Supergroup,12546,,,Siderian,2449,,,Neoarchean,2629,,"inferred, underlying unit",,2500,,44729,,,,,,Upper part deposited between 2470-2440Ma. Age of lower part: c.2600-2500Ma. Includes volcanic units ranging in age: 2597-2449 Ma.,"Chert, banded iron-formation, jaspilite, dolomite, mudstone, siltstone. Includes shallow-water reef limestones.",sedimentary non-carbonate chemical or biochemical,sedimentary carbonate,,N,
"Hamersley Group, lower",68611,Hamersley Group,8005,Subgroup,Informal,Hamersley Group,8005,,,Paleoproterozoic,,,,Neoarchean,,,,,,,50216,,,,,,,,,,,N,
"Hamersley Group, upper",80096,Hamersley Group,8005,Subgroup,Informal,Hamersley Group,8005,,,Paleoproterozoic,,,,Paleoproterozoic,,,,,,,70826,,,,,,,,,,,N,
Hamersley Range Megasequence,33838,,,Clan,Sequence stratigraphy,,,,,,,,,,,,,,,,22546,,,,,,Turee Creek Basin.,,,,,N,
Hampton Hill Formation,77858,Hampton Formation,8031,"Formation, beds",Reserved,,,Coolgardie Subgroup,77855,Neoarchean,,,,Neoarchean,,,,,,,70153,,"Hall, C. (GSWA)",31-May-13,,,"Kalgoorlie Terrane, Eastern Goldfields Superterrane. To be published = Geological Survey of Western Australia East Yilgarn update 2013-14, digital product.",Komatiite and subordinate basalt; metamorphosed.,meta-igneous ultramafic volcanic,meta-igneous mafic volcanic,,N,
Hampton Sandstone,25940,Hampton Conglomerate,8029,"Formation, beds",Formal,Eundynie Group,6368,,,Middle Eocene,41,,,Middle Eocene,42,,,,,WA,65942,32552,,,,,"The basal Tertiary unit in the central Eucla Basin.  Also overlies Gawler Craton in marginal palaeovalleys. Major marine transgression. Contains heavy minerals. See also Hampton Formation. Previously included in the Burdunga Subgroup, Immarna Group.","Poorly sorted limonite-stained sandstone, typically quartz rich; includes subordinate gravel, conglomerate and siltstone.",sedimentary siliciclastic,,,N,
Hangover Formation,79014,,,"Formation, beds",Reserved,Marshall Pool Subgroup,79020,,,,,,,,,,,,,,,,J. Sapkota (GSWA),20-Jan-15,,,Map Sheet = Weebo Nearest Town = Leonora. Brief description = Mainly contains basalt with minor komatiitic basalt and interleaved felsic volcanic and sedimentary rocks. It is named after Hangover Bore which lies NNW of Leonora. Tobepublished = GSWA digital release (Maps and explanatory notes).,,,,,N,
Hannans Subgroup,77860,,,Subgroup,Reserved,Kalgoorlie Group,26647,,,Neoarchean,,,,Neoarchean,,,,,,,70153,,"Hall, C. (GSWA)",31-May-13,,,"Basalt and komatiitic basalt interleaved with ultramafic rock; minor mafic intrusive rock; minor interflow sedimentary rock; metamorphosed.Kalgoorlie Terrane, Eastern Goldfields Superterrane. To be published = Geological Survey of Western Australia East Yilgarn update, 2013-14. Digital product.",Basalt and komatiitic basalt interleaved with ultramafic rock; minor mafic intrusive rock; minor interflow sedimentary rock; metamorphosed.,meta-igneous mafic volcanic,meta-igneous ultramafic volcanic,,N,
Hanns Camp Syenite,41047,,,"Formation, beds",Formal,,,,,Neoarchean,2664,2,,Neoarchean,2664,2,,,,,24196,,,,,,,,,,,Y,
Hanns Jasper Formation,75581,,,"Formation, beds",Formal,,,,,Neoarchean,,,,Neoarchean,2774,5,"isotopic, U/Pb-Pb/Pb ion probe",,,,66113,,"Hall, Charlotte (GSWA, Kalgoorlie)",7-Jan-10,,,"Volcaniclastic sandstone dated at 2774 ± 5 Ma found near Hanns Jasper Hill on the Lightfoot 1:100,000 map sheet (3539). Same age as a volcaniclastic sandstone found in the Palkapiti Formation and to c. 2770 ma plutonic rocks of the Minigwal Suite. To be published = 2010 publication of the Lightfoot 1:100,000 geological map by the Geological Survey of Western Australia. Hardcopy map and digital package.",Dacitic volcaniclastic sandstone; crystal- and lithic-rich; metamorphosed.,feldspar- or lithic-rich arenite to rudite,,,N,
Hansens Folly Granite,41433,Hansens Folly Gneiss,31904,"Formation, beds",Formal,,,O'Callaghans Supersuite,31858,Neoproterozoic,,,"inferred, geochemical correlation",Neoproterozoic,,,"inferred, geochemical correlation",,,,50436,,,,,,Of the O'Callaghans Supersuite.,Coarse-grained biotite syenogranite,igneous felsic-intermediate intrusive,,,Y,I-type
Hansons Bore lamproite,8057,,,"Formation, beds",Informal,,,,,,,,,,,,,,,,41158,,,,,,,,,,,Y,
Harbutt Leucogranite,31779,Harbutt,21944,"Formation, beds",Formal,,,Krackatinny Supersuite,31857,Mesoproterozoic,,,,Mesoproterozoic,1310,4,"isotopic, U/Pb-Pb/Pb ion probe",,,,50436,,"Bagas L., Wyborn L.A.I.",10-Mar-93,,,Connaughton 1:100k (Rudall 1:250 000) sheet area. Reservation varied at L.Wyborn's request. Equivalent to -Pgl+-Pgm on Connaughton 1:100k geol. sheet.,,,,,Y,
Hardey Formation,8075,Hardey Sandstone,8076,"Formation, beds",Formal,Fortescue Group,6834,,,Neoarchean,2756,5,"isotopic, U/Pb-Pb/Pb ion probe",Neoarchean,2766,2,"isotopic, U/Pb",3000,,,42471,,,,,,"Previously Hardey Sandstone. Within the Mount Bruce Supergroup. In Fortescue Basin (2007 Mt Edgar 100K, version 2, refid 65727), Oakover Basin..","Sandstone, siltstone, shale, lithic wacke, mudstone, arkose, calcareous beds, conglomerate; porphyry, porphyry breccia; quartzite; dacitic to rhyolitic lavas; quartz-feldspar-mica schist; boulder breccia; basalt; felsic pyroclastics, ultramafic lava.",sedimentary,igneous volcanic,,N,
Hardman Formation,8081,Hardman Member,8082,"Formation, beds",Formal,Liveringa Group,25997,,,Wuchiapingian,,,,Wuchiapingian,,,,,650,WA,33962,45153,,,,,,"Fossiliferous shallow marine mottled white red-brown and dark grey micaceous sandstone, siltstone, mudstone, limestone, conglomerate; commonly ferruginised by weathering.",sedimentary siliciclastic,argillaceous detrital sediment,,N,
Hargreaves Formation,8091,Hargreaves Member,25044,"Formation, beds",Formal,Cockatoo Group,4273,,,Frasnian,,,,Frasnian,,,,,,,40993,,,,,,,Sandstone.,,,,N,
Harms Sandstone,27163,,,"Formation, beds",Formal,Glidden Group,25926,,,Neoproterozoic,,,,Neoproterozoic,,,,,,WA,44397,48927,,,,,In the Glidden Basin.,"White pink and purple blocky thinly to thickly bedded fine medium and coarse grained quartz sandstone, purple laminated shale with rare green laminae, and minor thin interbeds of purple siltstone",sedimentary siliciclastic,argillaceous detrital sediment,,N,
Harris Sandstone,8099,"Red Hill Sandstone""""",28957,"Formation, beds",Formal,Lyons Group,28702,,,Gzhelian,,,,Kasimovian,,,,,85,WA,44537,45016,,,,,"See also Harris Sandstone Member, Lexicon, Harris Formation. Contains stem fragments and trunks of Lycopodiopsis.",Fine- to coarse-grained quartz sandstone; minor siltstone and (near base) diamictite.,quartz-rich arenite to rudite,argillaceous detrital sediment,,N,
Hart Dolerite,8108,,,"Formation, beds",Formal,,,,,Statherian,1790,4,"isotopic, U/Pb-Pb/Pb ion probe",Statherian,1797,11,"isotopic, U/Pb-Pb/Pb ion probe",,3000,,44317,,,,,,"Defn on Tech File SE/52-5. 1790 Ma. Age: 1800 - 1790Ma. Intrudes King Leopold Sandstone, Kimberley Group as sills. North Australian Craton, Kimberley Basin. Mafic intrusions contain PGE-Au-V mineralisation.","Gabbro, dolerite, diorite, granophyre; pyroxene granophyre differentiate overlies the dolerite and gabbro in some of the thicker sills.",igneous mafic intrusive,igneous intermediate intrusive,,Y,
Hart Dolerite - granophyre,80973,Hart Granophyre,80593,"Member, phase",Informal,,,Hart Dolerite,8108,Paleoproterozoic,1797,11,isotopic,Paleoproterozoic,1797,11,isotopic,,,,,,,,,,Published in GSWA Kimberley geological information series 2018 update. Halls Creek Orogen; King Leopold Orogen. Durack Fold Belt; Yampi Fold Belt. Also Subsurface unit interpreted by Songfa Liu for the basement geology of the Exploring for the Future area.,"Pink to pale-grey, medium- to coarse-grained granophyre.",igneous felsic intrusive,,,Y,
Hart Spring Sandstone,8110,,,"Formation, beds",Formal,Carlton Group,3629,,,Middle Cambrian,,,,Middle Cambrian,,,,,,WA,45038,41864,,,,,"See also Lexicon. SD52-10,14. Lithologically correlated with the Eagle Hawk Sandstone (Ord Basin).",Red micaceous quartz sandstone.,sedimentary siliciclastic,,,N,
Harts Range Metamorphic Complex,36822,Harts Range Group,8120,"Group, Suite",Formal,,,,,Cambrian,520,,,Neoproterozoic,,,,,,,23858,,,,,,"Was replaced by the Harts Range Group but is to be reinstated in the Illogwa Creek and Hale River 1:250 000 sheet areas. Whelan, J. (NTGS), 31-MAR-2011.","A thick metasedimentary succession with subordinate Paleozoic igneous units including mafic to ultramafic intrusions, metabasalts, granites and pegmatites.",metasedimentary,,,N,
Harvey Formation,39001,Harvey Beds,25944,"Formation, beds",Formal,,,,,Eocene,,,,Eocene,,,,,,,23880,,,,,,Possibly referring to Hervey Beds (DPSEP03). Province NOT Yilgarn Craton.,,,,,N,
Hatches Creek Group,8139,Hatches Creek Formation,8138,"Group, Suite",Formal,,,,,Statherian,1790,,"inferred, geological correlation",Orosirian,1820,,"inferred, geological correlation",,10000,NT,44944,49033,Blake D.H.,1-Jan-83,"Brakel, A.",16-Feb-84,"Redefined 1985. See also Lexicon.  Age: c.1820Ma (Page, OZCHRON). In the Tennant Creek Inlier.","Arenite, siltstone, shale; some felsic volcanic rocks and basaltic lava at and near base.",sedimentary siliciclastic,igneous volcanic,,N,
Hatfield Formation,36843,,,"Formation, beds",Formal,,,,,Mesoarchean,,,,Mesoarchean,2958,4,"isotopic, U/Pb",,1000,,23754,,,,,,Uppermost unit in the Carlingup Greenstone Belt,"Fine-grained clastic metasediments, minor dacitic metamorphosed volcanic and volcaniclastic rocks, and minor coarse-grained metaclastic rocks interbedded with pelitic rocks.",metasedimentary siliciclastic,meta-igneous felsic volcanic,,N,
Hawley Member,31475,,,"Member, phase",Formal,Carnac Formation,40564,,,Early Cretaceous,,,,Early Cretaceous,,,,,666,,50108,,J.Backhouse,28-Jul-97,,,,,,,,N,
Haycock Marl,23645,,,"Formation, beds",Formal,Winning Group,20259,,,Coniacian,,,,Turonian,,,,,302,WA,40800,40800,"R.M.Hocking, H.T.Moors",23-May-83,,,"Separated from Winning Group (in RefID 14228) on the basis of a minor break, changes in ocean currents, rate of sediment supply and transition to carbonate deposition.",Friable pink bioturbated marl with Chondrites burrows; glauconitic sand and fish debris thicker near base; rare Planolites burrows and chalk infillings towards top.,argillaceous detrital sediment,sedimentary carbonate,,N,
Hazlett beds,75578,Hazlett Beds,8203,"Formation, beds",Informal,,,,,Cretaceous,,,,Cretaceous,,,,,,,65074,,,,,,"Defined 1961 - as Hazlett Beds. Sandstone, siltstone, claystone. Eastern Canning Basin. Described in GSWA Memoir 3 (1990) , SW Birrindudu Basin,  p351, 360, 361. Mesozoic.","Sandstone, siltstone and white claystone",sedimentary siliciclastic,,,N,
Headleys Limestone,8205,Headley Limestone,37191,"Formation, beds",Formal,Negri Subgroup,27520,,,Middle Cambrian,,,,Middle Cambrian,,,,,50,WA,44965,41840,,,,,Of the Negri Subgroup (Goose Hole Group). Ord Basin.,Grey massive to laminated limestone; minor chert and stromatolites.,sedimentary carbonate,sedimentary non-carbonate chemical or biochemical,,N,
Hearson Cove Monzogranite,68510,,,"Formation, beds",Formal,,,Maitland River Supersuite,68668,Archean,,,,Archean,,,,,,,64174,63441,"Hickman, A.  (GSWA)",30-Mar-05,"Hocking, R.",,New name added in nomenclatural revision in GSWA Record 2006/15 (Van Kranendonk).  Intruded by 2725Ma Gidley Granophyre. Forms part of c.2990Ma Dampier Granitic Complex.,"Monzogranite and syenogranite containing microcline megacrysts up to 5cm long; rock commonly shows a magmatic alignment of microcline phenocrysts, but otherwise massive and non-foliated.",igneous felsic intrusive,,,Y,
Heavitree Formation,8223,Heavitree Quartzite,8225,"Formation, beds",Formal,,,,,Tonian,,,inferred,Tonian,,,inferred,,,NT,34186,,"Normington, V.J., Donnellan, N. (NTGS)",11-Feb-16,"Whelan, J., Normington, V.",15-Jun-16,"Probably an accidental misspelling of Heavitree Quartzite when first used, but unit redefined in 2016 from Heavitree Quartzite to Heavitree Formation due to the recognition that the rocks of the unit are silicified sandstone rather than a quartzite. Detrital zircon analysis suggests a maximum depositional age of 1050 to 1000 Ma (Camacho et al 2002, Maidment 2005, Maidment et al 2007; Kositcin et al 2014). It is thought that the Heavitree Formation sits in the Cryogenian subdivision of the Neoproterozoic (e.g. Grey 2005). Amadeus Basin, Centralian Superbasin.","Fine-, medium- or coarse-grained, planar and cross-bedded, variably feldspathic quartzose sandstone, pink, grey, pinkish-brown, purple or white weathering, and rare laminated mudstone or conglomerate intervals.",,,,N,
Heavitree Formation and Bitter Springs Group,80966,"Heavitree Quartzite, Bitter Springs Formation",68372,Supergroup,Informal,,,,,Tonian,,,inferred,Tonian,,,inferred,,,,72034,,,,,,In refID 72034. (GSWA (2016). 1:500 000 Interpreted Bedrock Geology of Western Australia.  Informal grouping of units to suit map scale. Also Subsurface unit interpreted by Songfa Liu for the basement geology of the Exploring for the Future area.,"Quartz sandstone, sandstone and conglomerate, dolomite, stromatolitic dolomite and siltstone.",sedimentary siliciclastic,sedimentary carbonate,,N,
Hebe Shale,8238,,,"Formation, beds",Formal,,,,,,,,,,,,,,,,38936,,,,,,,Shale,,,,N,
Heines Member,30235,,,"Member, phase",Formal,Wilthorpe Formation,30236,,,Paleoproterozoic,1800,,inferred,Paleoproterozoic,1996,,inferred,,,WA,65408,65419,Pirajno F.,19-Oct-94,,,Glengarry Basin. See also Heines Formation (published 1995). Ages inferred from Wilthorpe Formation and Padbury Group.,"Upward-fining succession of polymictic conglomerate with a carbonate matrix, lithic wacke, sandstone, quartz-hematite schist and quartz-sericite-hematite schist.",sedimentary siliciclastic,metasedimentary siliciclastic,,N,
Helicopter Siltstone,8259,,,"Formation, beds",Formal,,,,,Ediacaran,,,,Cryogenian,,,,,330,WA,44317,45047,,,,,"Defn on Tech File SE/52-6.  Age considered to be ~800 Ma, Cryogenian, in 1999. More recently considered Ediacaran.","Micaceous siltstone, fine- to medium-grained sandstone, mudstone",argillaceous detrital sediment,,,N,
